trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-140.53113215374975,"{0: 19, 1: 1, 2: 6, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-151.42130197564168,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-264.9997687009049,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 6}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-127.69281551410882,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,2,-192.88690565943082,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 4}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-128.85723432529517,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-84.25998873506614,"{0: 14, 1: 2, 2: 0, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,0,-73.27789781052685,"{0: 28, 1: 1, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-50.23127828654928,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-145.59018779199494,"{0: 20, 1: 0, 2: 5, 3: 4, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,1,-137.3314852418496,"{0: 22, 1: 0, 2: 3, 3: 1, 4: 3}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-54.55915998747861,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-42.98586930225404,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-11.721091731358692,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-99.24875421493745,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,13,7.725777741387445,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,34.29553328061722,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,13,-64.64148182962042,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,0,-28.345007106337853,"{0: 31, 1: 1, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,6,32.70046302413844,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,-14.326058712420252,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,26.424239293823955,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,12,15.268440558697769,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,-14.126945166396718,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,12,27.212625988206273,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,-47.904183333423354,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",30,0,21.56130054701281,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,4,-38.089345890714256,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,0,-117.89508586878588,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",25,0,-62.539973811702765,"{0: 20, 1: 2, 2: 0, 3: 2, 4: 1}",0
