trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9999975}",30,0,-194.86209411181014,"{0: 14, 1: 6, 2: 6, 3: 2, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.9999925}",25,0,-98.16270322393787,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.9999849999999999}",20,0,-88.98784207015851,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.1, 'e': 0.999975}",30,8,-99.65470231896583,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 2}",1
5,False,"{'a': 0.1, 'e': 0.9999625}",25,0,-49.43910835931604,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.1, 'e': 0.9999475}",20,0,-91.51303893330653,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.99993}",20,0,-130.60809281385477,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.99991}",30,0,-183.40198168346268,"{0: 15, 1: 2, 2: 9, 3: 3, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.9998874999999999}",20,0,-87.57721031120641,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.1, 'e': 0.9998624999999999}",25,0,-120.54746430570914,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.9998349999999999}",30,0,-108.48715830807768,"{0: 17, 1: 3, 2: 9, 3: 1, 4: 0}",0
12,False,"{'a': 0.1, 'e': 0.9998049999999999}",20,0,-101.20511465500037,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.1, 'e': 0.9997725}",30,0,-111.81334020280116,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.1, 'e': 0.9997375}",25,0,-98.18555689315643,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
