trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-89,-544.3749583991472,"{0: 70, 1: 10, 2: 15, 3: 6, 4: 8}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,-83,-649.4187606021326,"{0: 56, 1: 11, 2: 29, 3: 4, 4: 8}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,-71,-498.39718887729566,"{0: 64, 1: 5, 2: 20, 3: 5, 4: 7}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,-100,-653.0132036008695,"{0: 67, 1: 18, 2: 19, 3: 9, 4: 7}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,-14,-199.00124122867166,"{0: 18, 1: 0, 2: 11, 3: 4, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,-30,-320.39617870288487,"{0: 31, 1: 7, 2: 9, 3: 4, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,-100,-476.7022343723586,"{0: 73, 1: 14, 2: 23, 3: 6, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,10,-25.21444192163591,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",30,-42,-523.5693153680804,"{0: 35, 1: 11, 2: 16, 3: 2, 4: 8}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,6,-144.8723451172197,"{0: 18, 1: 1, 2: 5, 3: 4, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,-100,-666.0827870129547,"{0: 71, 1: 10, 2: 23, 3: 8, 4: 8}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,-8,-89.72326363847182,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,-100,-556.9326376740686,"{0: 69, 1: 15, 2: 23, 3: 8, 4: 5}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,-19,-237.10315720831093,"{0: 22, 1: 4, 2: 7, 3: 3, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,3,-9.484653776908134,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,-57,-466.8548501523484,"{0: 45, 1: 4, 2: 16, 3: 6, 4: 6}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,-20,-199.78812685048484,"{0: 29, 1: 4, 2: 8, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,-53,-277.2926924346242,"{0: 51, 1: 5, 2: 10, 3: 2, 4: 5}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-15,-95.9281219286945,"{0: 23, 1: 6, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,-100,-601.8910487944861,"{0: 65, 1: 14, 2: 32, 3: 3, 4: 6}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,-100,-762.8052455354596,"{0: 67, 1: 16, 2: 20, 3: 5, 4: 12}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,-18,-121.93183134020089,"{0: 28, 1: 6, 2: 7, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,1,-104.86923626257077,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,-17,-115.64661760075452,"{0: 23, 1: 2, 2: 9, 3: 3, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,-49,-267.8913485173622,"{0: 47, 1: 3, 2: 12, 3: 4, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,-100,-561.3414517452877,"{0: 76, 1: 12, 2: 23, 3: 0, 4: 9}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,15,19.05416511209882,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",35,-100,-737.5022008311814,"{0: 80, 1: 12, 2: 26, 3: 7, 4: 10}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,-17,-142.1695446996869,"{0: 26, 1: 5, 2: 3, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,-48,-278.30186549877266,"{0: 43, 1: 7, 2: 11, 3: 4, 4: 3}",0
